Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
teruk,"Sure, here's a dictionary entry for 'teruk':\n\nTeruk\nPronunciation: té-rük\nAlternate spellings: terok, tiruk\n\nDefinition:\n\nTeruk is a Singlish term that means terrible, awful, or very bad. It is commonly used to describe something that is negatively perceived, such as a movie, a meal, or an experience. The word has a negative connotation and is often used to express disappointment or dissatisfaction.\n\nExample Usage:\n\n- ""This food is teruk lah, I don't think I can finish it.""\n- ""The weather is so teruk today, I don't even want to go outside.""\n- ""I tried to watch that new show but it was terok, I couldn't even finish the first episode.""\n\nNote: The word 'teruk' is derived from the Malay language, where it means 'severe' or 'extreme'. It has become a popular Singlish term and is used widely in Singapore and Malaysia.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Thai disco,"Thai disco (noun)\nPronunciation: /tai di-skoh/\nAlternate spellings: Tai disco\n\nDefinition:\nThai disco refers to a type of nightclub or entertainment venue that originated in Singapore and is influenced by Thai culture. It is known for its unique blend of live performances, high-energy music, and vibrant atmosphere. Thai discos typically feature a combination of Thai and local pop music, accompanied by live bands or DJs. The venue is often adorned with colorful decorations and themed elements, inspired by Thai street markets or festivals.\n\nThai discos are favored by a diverse mix of people, including locals and tourists, who are drawn to the lively ambiance and immersive experience. The lively and energetic music encourages patrons to dance and let loose on the dance floor. These discos are known for their strong emphasis on customer interaction, with friendly staff members actively engaging in conversations and group activities.\n\nIn addition to the entertainment aspect, Thai discos are also renowned for their wide variety of food and drinks. These establishments often offer a range of Thai and local delicacies to complement the overall experience.\n\nExample:\n""Let's head to the Thai disco tonight and enjoy some great music and delicious Thai food!""\n\nNote: The term ""Thai disco"" is commonly used in the Singaporean context and may not be as widely recognized in other regions.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Thaipusam,"Sure, here's a dictionary entry for ""Thaipusam"":\n\nThaipusam (pronounced Thai-poo-suhm) is a Hindu festival celebrated by Tamil-speaking communities in Singapore, Malaysia, and other parts of the world. It usually falls in the Tamil month of Thai (January/February). The festival is a celebration of Murugan, the Hindu god of war and victory. Devotees observe a strict regimen of fasting and prayer in the lead up to Thaipusam, and some even perform vows like carrying a kavadi or piercing their bodies with hooks and needles as a form of penance.\n\nAlternate spellings: Thaipoosam, Tai Pusam\n\nExample: ""My Tamil friend is getting ready to celebrate Thaipusam this year by carrying a kavadi at the temple!""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
than chia,"Sure, here's the dictionary entry for 'than chia':\n\nWord: Than chia \nPronunciation: tan chuh \n\nDefinition:\nThan chia is a Singlish phrase that means ""wait a minute"" or ""hold on"". It is commonly used in spoken conversations to signal a brief pause or delay in the conversation. \n\nAlternate spellings: \n-Tan cheah \n-Than cheah\n-Tan chia\n-Than chia\n\nExample sentences:\n1. ""Than chia ah, I need to grab my phone from the other room.""\n2. ""Can you than chia for a while? I'm finishing up this email.""\n3. ""Eh, than chia a bit ah, my grandma wants to talk to you.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
than chia peng,"Sure, I can help you with that!\n\nEntry: Than Chia Peng\n\nPronunciation: ""tan chyah pong""\n\nAlternative spellings: Than Jia Fan, 飯餐 ""Fan Cai"" (in Mandarin)\n\nDefinition: \nA Hokkien phrase used in Singapore which literally means ""rice meal"". Typically used to describe a cheap and simple meal, usually eaten in a hawker center or food court. 'Than chia peng' usually consists of a plate of rice served with a few small portions of dishes for a complete meal.\n\nExample: ""After work, I usually go to the hawker center nearby for than chia peng. It's cheap and delicious!""\n\nNote: The phrase is commonly used in Singapore and is a part of the everyday Singlish vocabulary.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
thiam,"Word: Thiam\n\nPronunciation: tee-yam\n\nAlternate spellings: ti-am, thiammm\n\nDefinition:\nThiam is a Singlish slang term that originates from the Hokkien dialect. It is commonly used in Singapore to mean ""to be afraid"" or ""to fear something/someone"". This word is often used to express feelings of anxiety, worry, or apprehension towards a particular situation or individual.\n\nExample:\n1. ""Don't thiam-lah, everything will be alright!""\nTranslation: ""Don't be afraid, everything will be alright!""\n\n2. ""I thiam the teacher will scold us if we don't finish our homework.""\nTranslation: ""I am afraid that the teacher will scold us if we don't finish our homework.""\n\nNote: This term is primarily used in informal conversations or when speaking within the local Singaporean context.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
thosai,"Sure, here's a dictionary entry for 'thosai':\n\nThosai /'tʰəʊsaɪ/ (also spelled dosai or dosa)\n\nNoun: A thin, crispy, and savory South Indian pancake made from a batter of ground urad dal and rice. Often served with coconut chutney and sambar.\n\nExample usage: ""I love having thosai for breakfast with a cup of hot masala chai.""\n\nNote: This dish is especially popular in Singapore and Malaysia as part of the local Indian cuisine.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
thunder tea rice,"Sure, here's a dictionary entry for 'thunder tea rice':\n\nThunder Tea Rice (noun): A popular Hakka dish in Singapore and Malaysia consisting of steamed white rice served with a variety of chopped vegetables, tofu, and peanuts, plus a bowl of soup made from grinding tea leaves and herbs into a paste. The soup paste is typically made from ingredients such as green tea leaves, mint, basil, coriander, and nuts, and can be quite fragrant and flavorful. The dish is typically healthy and low in calories.\n\nPronunciation: /θʌndər ti raɪs/\n\nAlternate spellings: None\n\nExample: ""I'm feeling like a healthy lunch today, I think I'll get some thunder tea rice at the nearby hawker center.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tia bo,"Sure, here's the dictionary entry for ""tia bo"": \n\nWord: Tia bo /ti-ya bow/\n\nDefinition: ""Tia bo"" is a Singlish phrase that means ""don't have"" or ""don't know"" in English. It can be used as a response to a question, indicating a lack of information or a negative answer.\n\nExample: \nPerson A: ""Can you lend me $50?""\nPerson B: ""Tia bo leh, sorry.""\n\nAlternate spellings: \n- Tiagabo\n- Tiabo \n\nNote: The word ""tia"" in ""tia bo"" is derived from the Hokkien dialect, while ""bo"" is from Malay.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tiger show,"Sure thing! Here's the definition, pronunciation, and alternate spelling of ""tiger show"" in Singlish:\n\nDefinition: A type of strip show or pornography that usually features women performing explicit acts with or on live tigers. This type of entertainment is illegal in many countries and is often associated with animal cruelty and exploitation.\n\nPronunciation: tie-guh shoh\n\nAlternate spelling: None\n\nExample sentence: ""I can't believe some people still go to those tiger shows despite all the controversy and animal welfare issues.""\n\nNote: It's important to remember that engaging in or promoting illegal activities is never acceptable, and the use of animals for entertainment purposes is often unethical. This term should only be used in an educational context that condemns such activities.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
"tikam, tikam(-)tikam","Sure, here is a dictionary entry for ""tikam, tikam(-)tikam"":\n\nWord: tikam, tikam(-)tikam\nPronunciation: tee-kahm, tee-kahm-tee-kahm\nAlternate spellings: -\nDefinition: A game of chance where players guess a correct number or color to win a prize. The game involves a container filled with small objects such as marbles, beads or blocks, and is often played at fairs or carnivals. The phrase ""tikam-tikam"" is also commonly used to describe a guessing game or taking random chances in a situation.\nExample: ""I won a teddy bear at the carnival by playing tikam-tikam.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tim chuk,"Sure, here's the dictionary entry for 'tim chuk':\n\ntim chuk:\nDescription: a Hokkien term that is used in Singlish to refer to the act of pouring hot water over a tea bag in a cup in order to make tea or to dilute the taste of an overly strong tea. It can also refer to the resulting tea itself. \nExample: ""After a heavy meal, I always need to have a cup of tim chuk to digest the food."" \nPronunciation: ""teem chook"" \nAlternate spellings: ""tim juk"" or ""tim zhuk"" \n\nHope that helps!",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tingkat,"Sure, here's a dictionary entry of 'tingkat':\n\ntingkat (noun): \na Malay word meaning a three-tiered container used to carry food, typically used for home deliveries and catering.\n\nPronunciation: /ting-kat/\n\nAlternate spellings: None\n\nExample: ""I ordered a tingkat delivery from the caterer for our family gathering.""\n\nNote: In Singlish, the word 'tingkat' is commonly used to refer specifically to the delivery of food in such containers, rather than the container itself.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tingkat,"tingkat (pronunciation: ting-kat) \n\nAlternate spellings: tingkat \n\nDefinition:\n1. A Malay word used in Singlish to refer to a set of stacked containers or tiffin carriers used for food delivery or for storing and transporting meals. \n\nExample:\nAh Boy ordered tingkat for dinner so that the whole family can enjoy a variety of dishes. \n\nNote: \nThe word ""tingkat"" is derived from the Malay language and is commonly used in Singapore to refer to a traditional method of meal delivery. It is often associated with home-cooked meals and is popular among families, especially those who prefer the convenience of having food delivered to their doorstep.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
tio,"tio (tee-oh) - alternate spelling: cho\n\nDescription:\nThe Singlish term 'tio' is a versatile and commonly used word that holds multiple meanings depending on its context. It is a particle that is often added at the end of a sentence to express certainty or completion. Additionally, 'tio' can be used to indicate the occurrence of an unexpected or unfortunate event.\n\nExamples:\n1. ""Confirm plus chop, I tio caught in the rain later!""\nTranslation: ""Without a doubt, I will definitely get caught in the rain later!""\n\n2. ""I studied all night, tio pass this exam sure!""\nTranslation: ""I studied all night, there is no doubt I will pass this exam!""\n\n3. ""I was walking, tio kena red paint splatter on my white shirt!""\nTranslation: ""I was walking when I unexpectedly got red paint splattered on my white shirt!""\n\nNote:\n- 'Tio' is commonly used in Singlish, a mixture of English, Malay, Hokkien, and other languages spoken in Singapore.\n- 'Tio' is similar in meaning to the Hokkien word ""si, sia"" and the Malay word ""kena.""\n- The pronunciation of 'tio' is often affected by the Singlish accent and may sound like ""chop"" to non-Singaporeans.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
tio be pio,"Sure, below is the dictionary entry for ""tio be pio"":\n\nWord: Tio be pio\n\nPronunciation: Tee-oh be pee-oh\n\nAlternate spellings: Cho peh, chopeh, chupakabra\n\nDescription: ""Tio be pio"" is a Singlish phrase that means ""to be thick-skinned"" or ""shameless."" This term is often used to describe someone who is shamelessly asking for something or trying to get away with something they shouldn't be doing. ""Tio be pio"" can be used in a variety of contexts, from asking for discounts to borrowing money from friends or family.\n\nExample:\nA: ""Eh, can I borrow some money from you again?""\nB: ""Wah, you tio be pio sia! You still haven't paid me back from last time!""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
